iter	Accuracy	MultiClass
788	0.9974259974	0.1060838835
789	0.9974259974	0.1059125241
790	0.9974259974	0.1057050818
791	0.9975689976	0.1055129767
792	0.9975689976	0.1053897593
793	0.9975689976	0.1051121147
794	0.9975689976	0.1049854419
795	0.9975689976	0.1047844674
796	0.9975689976	0.1045334306
797	0.9975689976	0.1044054663
798	0.9975689976	0.1042542053
799	0.9975689976	0.1040793066
800	0.9975689976	0.1039879984
801	0.9975689976	0.1037795489
802	0.9975689976	0.1036152257
803	0.9975689976	0.1035602049
804	0.9975689976	0.1034125433
805	0.9975689976	0.1033237681
806	0.9975689976	0.1031872909
807	0.9975689976	0.1030621522
808	0.9975689976	0.1029112236
809	0.9975689976	0.1027026826
810	0.9975689976	0.1025213316
811	0.9975689976	0.1023744644
812	0.9975689976	0.1022960077
813	0.9977119977	0.1021960007
814	0.9977119977	0.1020346237
815	0.9978549979	0.1018467976
816	0.997997998	0.1016654138
817	0.997997998	0.1014381093
818	0.9981409981	0.1012447475
819	0.9981409981	0.100981368
820	0.9981409981	0.1008414816
821	0.9981409981	0.1006564346
822	0.997997998	0.1005711121
823	0.9981409981	0.1003568544
824	0.9981409981	0.1001788737
825	0.9981409981	0.1001151237
826	0.9981409981	0.09997152571
827	0.9981409981	0.09986644067
828	0.9981409981	0.09962892012
829	0.9981409981	0.09952903345
830	0.9981409981	0.0994306575
831	0.9981409981	0.0992975065
832	0.9981409981	0.09902759344
833	0.9981409981	0.09893952104
834	0.9981409981	0.09881140273
835	0.9981409981	0.09865457205
836	0.9981409981	0.0984963075
837	0.9981409981	0.09835813017
838	0.9981409981	0.09828305686
839	0.9981409981	0.09817444691
840	0.9981409981	0.09805668841
841	0.9981409981	0.09777146921
842	0.9981409981	0.09769423692
843	0.9981409981	0.0973784272
844	0.9981409981	0.0973144002
845	0.9981409981	0.09719961081
846	0.9981409981	0.09699196471
847	0.9982839983	0.0966593151
848	0.9982839983	0.09655748543
849	0.9981409981	0.09642844754
850	0.9981409981	0.09627504846
851	0.9981409981	0.09616107481
852	0.9982839983	0.09601979801
853	0.9982839983	0.09592684688
854	0.9982839983	0.09584089254
855	0.9982839983	0.09569442184
856	0.9982839983	0.09553449284
857	0.9982839983	0.09524312949
858	0.9982839983	0.09510920588
859	0.9982839983	0.09499887476
860	0.9982839983	0.09494751147
861	0.9984269984	0.09477337598
862	0.9984269984	0.09466518915
863	0.9982839983	0.09441612992
864	0.9982839983	0.09428501526
865	0.9982839983	0.09407698583
866	0.9982839983	0.09399651016
867	0.9982839983	0.09369761797
868	0.9982839983	0.09351986134
869	0.9982839983	0.09340851721
870	0.9984269984	0.09313075325
871	0.9982839983	0.09299639193
872	0.9982839983	0.09284777813
873	0.9982839983	0.09268201922
874	0.9984269984	0.09253019252
875	0.9984269984	0.09222826738
876	0.9984269984	0.09217222768
877	0.9984269984	0.09208186015
878	0.9984269984	0.09194498356
879	0.9984269984	0.09182301654
880	0.9984269984	0.09166487757
881	0.9984269984	0.09152269867
